track_id,track_name,artist,genre,community_id,genius_title,genius_artist,language,lyrics_preview
4uu7gKd1PffC7QEMcMk0Ro,One Take,Lil Tjay,r-n-b,3,One Take,Lil Tjay,en,"Lil Tjay

I got a plan to run up some bands
You tell me I can't, I tell you who I am
Free all my brothers that's stuck in the can
Glizzy on me, .38, it won't jam
Opp pack, I can make you a strand
Free..."
3J8EOeKLTLXORtWPpOU5bE,Calling My Phone,Lil Tjay,r-n-b,3,Calling My Phone,Lil Tjay,en,"Steady callin' my phone
I done told you before that it's over, leave me 'lone
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back
But trust me, you're gon' hold tha..."
18tRIlHaFI2E3BbtSl8KgD,Puppy Love,KD Da Kid,kids,3,Puppy love,Kd da kid,en,"It kd da kid Gang im about to sing my song right now  shawty you got puppy love shawty,shawty you got puppy love gang shawty you gop puppy love shawty you got puppy love she my lil  baby she drive me ..."
5YRzeFvIc4yNhpzDcLKWvE,Bossy,BadKidMacei,kids,3,Bossy,BadKidMacei,en,"(Badkidmaceii & Badkidpariss)
I wanna be a boss when I grow up riding big wheels Be a boss when I  grow up spinning big bills Big boss when I grow up I wanna be a boss cause im bossy I wanna be a boss..."
7rEU8fXG9VhwOQUeojzqJ3,Monster Mash,Cooltime Kids,kids,3,Monster Mash,Cooltime Kids,en,"I was working in the lab late one night
When my eyes beheld an eerie sight
For my monster from his slab began to rise
And suddenly to my surprise
He did the mash
He did the monster mash
The monster ma..."
5Sho3kEbYXopoXPhPACqo7,Cha Cha Slide,Mr. C,kids,3,Cha Cha Slide (Part 2),DJ Casper,en,"This is somethin' new
The Casper Slide, part two
Featuring the Platinum Band
And this time we're gonna get funky (Funky)
Everybody clap your hands (Hands)
Clap, clap, clap, clap your hands
Clap, clap,..."
100fdP6bcT8byvdEdAAcTJ,Super Gremlin Freestyle,BadKidMacei,kids,3,SUPER GREMLIN FREESTYLE,Macei K,en,"Man, we could be superstars
We been ridin', wreckin' cars (ayy bro, is that Jambo?)
What is at stakes for us?
Kickin' off power mirrors
Yeah, we could be superstars
But I'm pretty sure our time is up
..."
3GzNQyTI1kco9mNLNXHVhA,Letter Q Song,Have Fun Teaching,kids,3,Letter Q Song,Have Fun Teaching,en,"Q is a consonant, a letter in the alphabet
Q is a consonant, a letter in the alphabet
Q is a consonant, a letter in the alphabet
Q is a consonant, a letter in the alphabet

/kw/, /kw/, /kw/, /kw/
/kw/..."
194siU0hrfv77S1PZUea45,Super Spies!,Dora The Explorer,kids,3,Super Spies!,Dora the Explorer,en,"Door, jungle, flowery garden
Door, jungle, flowery garden
Door, jungle, flowery garden
Door, jungle, flowery garden

Come on vamanos, everybody let's go
Come on let's get to it
I know that we can do i..."
37sgFqYVOOZaOerpcQhdHC,I Like Sidewalks,Cody,kids,3,I Like Sidewalks,"Cody, Heart, Mr. Primm, Scatter & Shaggy",en,"Check, check, check, check
Check, check, check, check
Check, check, check, check
Check, check, check, check
Check, check, check, check
Check, check, check, check
I'm here to say I like sidewalks under..."
5g3rL93FXCoTZwP2zr9RE5,Hey Baby,DJ Ötzi,party,3,Hey Baby,DJ Ötzi,en,"Okay, senorinas y cabaleros
And ladies and gentleman
Meine Damen und Herren
Hey baby from the seventies
Okay, put your hands up in the air
Die Hände in die Höhe und
Everybody sing now
Uno, dos, tres, ..."
7jvro28dBbuWoBYSdqk4N9,Oh wie ist das schön - Single Version,Mickie Krause,party,3,Oh wie ist das schön - single version,Mickie Krause,en,"Hello hi, nasty N Dubble
Nah, nah, nay, it's N-Dubz, flip, flip N double A
South's finest N-Dubz
Northwest, west N-Dubz, N-Dubz rep 'cause
Dog, you got the same name as us
Why you hypin' for this, a c..."
0xttqqTj7ZAGyVkfOYxQ4F,Nee Paartha Vizhigal - The Touch of Love,Anirudh Ravichander,hip-hop,3,Nee Paartha Vizhigal – The Touch of Love (Romanized),Anirudh Ravichander,,"Nee Paartha Vizhigal
Nee Paartha Nodigal
Ketaalum Varuma
Ketkaatha Varama

Ithu Pothuma..ithil Avasarama
Inum Venduma..athil Nirainthiduma
Naam Paartha Naal..nam Vasam Varuma
Uyir Thaanguma..en Vizhig..."
4uW8CuyO9r7vOXgYf1eqCz,I'm Done,MC STAN,hip-hop,3,I’m Done,MC Stan,en,"""Melody khao khud jaan jao""

""Stannyyy inki maa chod dal""

Abhi bhi karta mei tere se pyaar
Kaise tu khelneki dil k saath
Jhagde tu nikalti nikal k past
Yaha tak ki same thi teri meri caste
Chodh dala..."
027A615jcOJgvezFn8kok4,Boys - Pink Panda Remix,Lizzo,hip-hop,3,Boys (Pink Panda Remix),Lizzo,en,"Four, three, two, ow

Ayy, boy, whatcha say, boy?
You tryna play coy like a Gameboy?
Hit my phone, boy, is you home, boy?
Are you alone, boy? Come give me dome, boy
Got a boy with degrees, a boy in th..."
39ujbBjTwwqUFySaCYDMMT,Proper Patola,Badshah,hip-hop,3,Proper Patola,Badshah,,"Proper patola
Nakhra ae swag
Suit Patiala shahi chunni teri black
O munde honke bharde
Tainu takk takk ke
Turre jadon hath tu
Lakk utte rakh ke
Proper patola
Nakhra ae swag
Suit Patiala shahi
Chunni m..."
40KuvsFD0zpUFuCcmt5Xm0,Ex Bitch,XXXTENTACION,hip-hop,3,Ex Bitch,XXXTENTACION,en,"Hey, hey, hey

I just fucked my ex bitch
Pull up on the next bitch
Like, ""What's up? Give neck, bitch""
Please open your legs, bitch
No, I'm not your daddy, bitch
But I could be your daddy, bitch
Got b..."
0Z2SFlnXH9yMN36djUeqyE,Fuck Em All,Sidhu Moose Wala,hip-hop,3,Fuck Em All,Sidhu Moose Wala,en,"Yeah!
They was praying I fall
But all I did was just ball
Against the laws, I stood tall
Fuck em all, fuck em all
They was praying I fall
But all I did was just ball
Against the laws, I stood tall
Fuc..."
2QnaC2GQiRytjynYWqcxsa,When in Rome,Mac Miller,hip-hop,3,When in Rome,Mac Miller,en,"Yeah, yeah, yeah
Yeah, ha-ha-ha-ha
Uh

All the freaks comin' out when the sun down (Woo)
Hatin' on it, I don't give a fuck now (Woo)
Bad little bitch with her tongue out (Tongue out)
Told her go long,..."
